trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
90,False,"{'a': 0.5, 'e': 0.5449999999999996}",20,0,-42.75146829416515,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
91,False,"{'a': 0.5, 'e': 0.5399999999999996}",25,0,-168.98749586780608,"{0: 15, 1: 2, 2: 5, 3: 0, 4: 3}",0
92,False,"{'a': 0.5, 'e': 0.5349999999999996}",20,4,-29.78952872699493,"{0: 12, 1: 1, 2: 2, 3: 1, 4: 0}",1
93,False,"{'a': 0.5, 'e': 0.5299999999999996}",35,21,-67.25788840319659,"{0: 8, 1: 0, 2: 4, 3: 2, 4: 0}",1
94,False,"{'a': 0.5, 'e': 0.5249999999999996}",25,6,-87.21396160820596,"{0: 13, 1: 1, 2: 2, 3: 2, 4: 1}",1
95,False,"{'a': 0.5, 'e': 0.5199999999999996}",30,0,-123.03808340729256,"{0: 15, 1: 4, 2: 10, 3: 1, 4: 0}",0
96,False,"{'a': 0.5, 'e': 0.5149999999999996}",35,0,-222.0812770927512,"{0: 25, 1: 0, 2: 5, 3: 0, 4: 5}",0
97,False,"{'a': 0.5, 'e': 0.5099999999999996}",20,0,-70.61809366674531,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
98,False,"{'a': 0.5, 'e': 0.5049999999999996}",30,0,-211.18106408111888,"{0: 19, 1: 0, 2: 6, 3: 1, 4: 4}",0
99,False,"{'a': 0.5, 'e': 0.49999999999999956}",25,0,-199.35441508432453,"{0: 13, 1: 0, 2: 9, 3: 0, 4: 3}",0
100,False,"{'a': 0.5, 'e': 0.49499999999999955}",20,0,-132.43144278619192,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
101,False,"{'a': 0.5, 'e': 0.48999999999999955}",30,21,-46.370801673578185,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 1}",1
102,False,"{'a': 0.5, 'e': 0.48499999999999954}",25,0,-77.2671023976871,"{0: 18, 1: 1, 2: 3, 3: 3, 4: 0}",0
103,False,"{'a': 0.5, 'e': 0.47999999999999954}",20,0,-81.2322770343223,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
104,False,"{'a': 0.5, 'e': 0.47499999999999953}",25,0,-199.5623780643282,"{0: 14, 1: 3, 2: 4, 3: 0, 4: 4}",0
105,False,"{'a': 0.5, 'e': 0.46999999999999953}",20,13,-0.9441769106619997,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
106,False,"{'a': 0.5, 'e': 0.4649999999999995}",30,0,-216.58848032107144,"{0: 19, 1: 1, 2: 5, 3: 1, 4: 4}",0
107,False,"{'a': 0.5, 'e': 0.4599999999999995}",20,0,-63.43323161658129,"{0: 15, 1: 0, 2: 2, 3: 3, 4: 0}",0
108,False,"{'a': 0.5, 'e': 0.4549999999999995}",35,3,-100.20096101540337,"{0: 23, 1: 0, 2: 7, 3: 1, 4: 1}",1
109,False,"{'a': 0.5, 'e': 0.4499999999999995}",30,0,-194.60923246313928,"{0: 18, 1: 2, 2: 6, 3: 1, 4: 3}",0
110,False,"{'a': 0.5, 'e': 0.4449999999999995}",20,0,-116.5025515944378,"{0: 14, 1: 0, 2: 3, 3: 1, 4: 2}",0
111,False,"{'a': 0.5, 'e': 0.4399999999999995}",25,0,-67.19184757221394,"{0: 19, 1: 0, 2: 5, 3: 0, 4: 1}",0
112,False,"{'a': 0.5, 'e': 0.4349999999999995}",25,1,-57.232806386778734,"{0: 17, 1: 4, 2: 2, 3: 0, 4: 1}",1
113,False,"{'a': 0.5, 'e': 0.4299999999999995}",25,0,-131.9033705703527,"{0: 14, 1: 1, 2: 8, 3: 1, 4: 1}",0
114,False,"{'a': 0.5, 'e': 0.4249999999999995}",20,2,10.560104496213556,"{0: 16, 1: 2, 2: 0, 3: 0, 4: 0}",1
115,False,"{'a': 0.5, 'e': 0.4199999999999995}",25,0,-144.9874441682405,"{0: 15, 1: 0, 2: 8, 3: 0, 4: 2}",0
116,False,"{'a': 0.5, 'e': 0.4149999999999995}",25,0,-145.1403825333376,"{0: 16, 1: 0, 2: 6, 3: 1, 4: 2}",0
117,False,"{'a': 0.5, 'e': 0.4099999999999995}",25,0,-128.64950779370665,"{0: 14, 1: 1, 2: 8, 3: 1, 4: 1}",0
118,False,"{'a': 0.5, 'e': 0.40499999999999947}",25,0,-142.37487631630492,"{0: 14, 1: 2, 2: 7, 3: 0, 4: 2}",0
119,False,"{'a': 0.5, 'e': 0.39999999999999947}",30,0,-243.07780889938846,"{0: 17, 1: 0, 2: 8, 3: 1, 4: 4}",0
120,False,"{'a': 0.5, 'e': 0.39499999999999946}",20,0,-103.34828390287679,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",0
121,False,"{'a': 0.5, 'e': 0.38999999999999946}",25,0,-104.9178720172018,"{0: 18, 1: 0, 2: 5, 3: 0, 4: 2}",0
122,False,"{'a': 0.5, 'e': 0.38499999999999945}",20,0,-62.6823939484349,"{0: 12, 1: 0, 2: 8, 3: 0, 4: 0}",0
123,False,"{'a': 0.5, 'e': 0.37999999999999945}",20,0,-75.18631347162241,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
124,False,"{'a': 0.5, 'e': 0.37499999999999944}",25,0,-110.39914633420175,"{0: 15, 1: 2, 2: 6, 3: 1, 4: 1}",0
