trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
142,False,"{'a': 0.999, 'e': 0.8675596164681786}",20,-3,-105.91317268620222,"{0: 14, 1: 1, 2: 6, 3: 1, 4: 1}",0
143,False,"{'a': 0.999, 'e': 0.8666920568517104}",20,-17,-182.3435542101019,"{0: 23, 1: 2, 2: 7, 3: 3, 4: 2}",0
144,False,"{'a': 0.999, 'e': 0.8658253647948586}",20,-95,-310.18842945724384,"{0: 75, 1: 17, 2: 16, 3: 4, 4: 3}",0
145,False,"{'a': 0.999, 'e': 0.8649595394300638}",25,3,-122.19778029250281,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 2}",1
146,False,"{'a': 0.999, 'e': 0.8640945798906338}",20,-100,-491.4203759792007,"{0: 86, 1: 5, 2: 18, 3: 1, 4: 10}",0
147,False,"{'a': 0.999, 'e': 0.8632304853107431}",20,-92,-304.1994081531531,"{0: 81, 1: 9, 2: 15, 3: 2, 4: 5}",0
148,False,"{'a': 0.999, 'e': 0.8623672548254323}",20,-11,-201.56637047555336,"{0: 17, 1: 2, 2: 8, 3: 1, 4: 3}",0
149,False,"{'a': 0.999, 'e': 0.861504887570607}",20,16,7.007867168963578,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
150,False,"{'a': 0.999, 'e': 0.8606433826830363}",20,15,8.678947734364653,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
151,False,"{'a': 0.999, 'e': 0.8597827393003533}",30,-67,-346.1579011385436,"{0: 67, 1: 6, 2: 14, 3: 6, 4: 4}",0
152,False,"{'a': 0.999, 'e': 0.8589229565610529}",25,-41,-321.21194520924456,"{0: 39, 1: 6, 2: 14, 3: 3, 4: 4}",0
153,False,"{'a': 0.999, 'e': 0.8580640336044919}",25,-1,-106.51563215784762,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 2}",1
154,False,"{'a': 0.999, 'e': 0.8572059695708873}",25,-63,-267.87775311956455,"{0: 61, 1: 9, 2: 13, 3: 1, 4: 4}",0
155,False,"{'a': 0.999, 'e': 0.8563487636013165}",35,9,-147.68572170762647,"{0: 17, 1: 1, 2: 5, 3: 0, 4: 3}",1
156,False,"{'a': 0.999, 'e': 0.8554924148377152}",20,-100,-367.4198719029184,"{0: 85, 1: 11, 2: 13, 3: 6, 4: 5}",0
157,False,"{'a': 0.999, 'e': 0.8546369224228775}",20,-60,-377.66571867152436,"{0: 48, 1: 12, 2: 13, 3: 1, 4: 6}",0
158,False,"{'a': 0.999, 'e': 0.8537822855004545}",25,-100,-291.96817930778883,"{0: 96, 1: 8, 2: 13, 3: 3, 4: 5}",0
159,False,"{'a': 0.999, 'e': 0.8529285032149541}",20,-47,-278.511910213246,"{0: 46, 1: 1, 2: 13, 3: 3, 4: 4}",0
160,False,"{'a': 0.999, 'e': 0.8520755747117391}",20,-13,-257.1513078078984,"{0: 19, 1: 2, 2: 6, 3: 1, 4: 5}",0
