trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
84,False,"{'a': 0.5, 'e': 0.5749999999999996}",20,0,-66.17562639228238,"{0: 11, 1: 3, 2: 6, 3: 0, 4: 0}",0
85,False,"{'a': 0.5, 'e': 0.5699999999999996}",20,0,-138.2234242268479,"{0: 10, 1: 2, 2: 6, 3: 0, 4: 2}",0
86,False,"{'a': 0.5, 'e': 0.5649999999999996}",35,0,-212.3503892861555,"{0: 20, 1: 1, 2: 11, 3: 0, 4: 3}",0
87,False,"{'a': 0.5, 'e': 0.5599999999999996}",30,0,-172.977517802046,"{0: 21, 1: 0, 2: 4, 3: 2, 4: 3}",0
88,False,"{'a': 0.5, 'e': 0.5549999999999996}",20,0,-114.20611380556932,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
89,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-102.2967119056765,"{0: 13, 1: 0, 2: 4, 3: 2, 4: 1}",0
90,False,"{'a': 0.5, 'e': 0.5449999999999996}",30,0,-121.28638918140466,"{0: 17, 1: 4, 2: 8, 3: 0, 4: 1}",0
91,False,"{'a': 0.5, 'e': 0.5399999999999996}",20,0,-95.34380724168297,"{0: 10, 1: 1, 2: 8, 3: 1, 4: 0}",0
92,False,"{'a': 0.5, 'e': 0.5349999999999996}",20,0,-143.9004111001592,"{0: 10, 1: 1, 2: 5, 3: 3, 4: 1}",0
93,False,"{'a': 0.5, 'e': 0.5299999999999996}",25,3,-98.79055617988561,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 2}",1
94,False,"{'a': 0.5, 'e': 0.5249999999999996}",20,0,-53.75984811746487,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
95,False,"{'a': 0.5, 'e': 0.5199999999999996}",25,0,-126.09454337930535,"{0: 17, 1: 1, 2: 4, 3: 1, 4: 2}",0
